DocumentSource,SlideNumber,Content
TROPICALIA_Sales Deck_Mar2025.pdf,10,"FORMULA BLUE CARESS

Herbal Iso Bornyl Acetate
Aldehyde C-12 MNA
Fresh
Myrac Aldehyde IFF

Dupical Naar

Nerolin
Floral

Peonile

Rose Oxide

Cyclacet®

Delta Damascone IFF

Geranyl Acetate IFF
Fruity Manzanate

Oxane 50 % 10%

Tropicalia 10% IFF

Veltol Plus

Eugenol
Spicy

Veraspice™ IFF
Balsamic Amyl Salicylate

Amber Xtreme™ IFF
Amber Ambertonic™ IFF

Cashmeran® IFF

*formula continues over next column

FABRIC CONDITIONER 1%

(-)
90.00
33.00
20.00

4.00
24.00
80.00

6.00

130.00
16.00
15.60
14.00

3.00
30.00
24.00

8.00

120.00

3.00
10.00
14.00

(+)

128.00

2.00

Woody

Mossy
Powdery/sweet
Tobacco/hay

Animalic

Bacdanol®

Karmawood™

Patchouli Oil Indonesia MD
Veramoss

Vertenex

Iso Butyl Quinoline

Ethyl Vanillin

Coumarin

Indole

IFF
IFF
IFF
IFF

IFF

TOTAL:

40.00
12.00
40.00
10.00
160.00
2.40
30.00
60.00
1.00

1,000.00 1,000.00"
TROPICALIA_Sales Deck_Mar2025.pdf,11,Confidential
TROPICALIA_Sales Deck_Mar2025.pdf,12,"FORMULA VITALIA |

Green

Floral

Fruity

Hexenyl Acetate, Cis-3
Triplal

Benzyl Acetate

Cyclamal

Methyl Dihydro Jasmonate
Phenoxy Ethyl Iso Butyrate
Allyl Caproate

Allyl Cyclohexyl Propionate
Allyl Heptanoate
Cyclaprop®

Dimethyl Benzyl Carbinyl Acetate
Dimethyl Benzyl Carbinyl Butyrate
Ethyl-2-Methyl Butyrate
Fructone

Manzanate

Methyl Caprylate

Methyl Eth Ketone New
Prenyl Acetate

Tropicalia 10%
Undecalactone Gamma
Veltol Plus

Verdox™

SHAMPOO 1%

IFF

IFF
IFF

IFF

*formula continues over next column

(-)
10.00
20.00
28.00
48.00

144.70
35.00
14.00
12.00
35.00
30.00
35.00
40.00
20.00
20.00
16.00

0.50
0.80
8.00
80.00
5.00
95.00

(+)

143.30

1.40

Hexyl Salicylate

Balsamic
Methyl Cinnamate 10%
Ambrettolide
Musk
Galaxolide® Undiluted
Woody Iso E Super®

Powdery/sweet Ethyl Vanillin

IFF
IFF
IFF

TOTAL:

110.00
8.00
7.00

123.00

35.00
20.00

1,000.00 1,000.00"
TROPICALIA_Sales Deck_Mar2025.pdf,13,Confidential
TROPICALIA_Sales Deck_Mar2025.pdf,14,"FORMULA FRUITY PUNCH

Dihydro Myrcenol
Citrus Linalyl Acetate
Tetrahydro Myrcenol
Eucalyptol 10%
Herbal
Linalool
Galbanum Reco w/o Myrcene 10%
Green Hexenol, Cis-3
Hexeny! Formate,cis-3
Citronellol, |-
Citronellyl Acetate
Dihydro Beta lonone
Geraniol 980
Hexyl Cinnamic Aldehyde
Jasmin Lactone
Jasmone Cis
Floral
Kharismal® Super
Methyl Octin Carbonate
Nonadienol,2-trans-6-cis 10%
Phenyl Ethyl Alcohol
Rose Essential™ 10% LMR
Rose Oxide 10%

Ylang Ylang Oil Complete Madagascar

*formula continues over next column

IFF

IFF

IFF

IFF
IFF

IFF

IFF

SHOWER GEL 1%

(-)
30.00
15.00
50.00

5.00
40.00
2.00
17.00
2.00
20.00
2.00
70.00
35.00
50.00
8.00
2.00
150.00
3.00
2.00
15.00
25.00
2.00
20.00

(+)

Fruity

Spicy

Woody

Decalactone Gamma
Ethyl Caproate 1%
Geranyl Acetate

Methyl Anthranilate 10%
Tropicalia™

Veraspice™

lonone Alpha

lonone Beta

DPG

IFF

IFF
IFF

TOTAL:

50.00
15.00

4.00
20.00

2.00
70.00
250.00

24.00 19.00
1,000.00 1,000.00"
TROPICALIA_Sales Deck_Mar2025.pdf,15,Confidential
TROPICALIA_Sales Deck_Mar2025.pdf,16,"FORMULA VANIANI | ALCOHOL 10%

Floral

Fruity

Balsamic

Musk

Amber

Jasmin Absolute India LMR 10% IFF
Methyl Dihydro Jasmonate

Aldehyde C-18

Allyl Cyclohexyl Propionate 10%

Decalactone Gamma

Palatone

Tropicalia 1% IFF
Veltol Plus

Benzoin Resinoid SIAM Blo 50% TEC IFF

Creosol #340 1%

Ultravanil Q Colipa

Vanilla CO2 Org Fair LMR IFF
Bellanone

Amber Xtreme™ 1% IFF
Ambermor IFF

Ciste Abs Sis F0785 10%

*formula continues over next column

(-)
1.50
381.00
11.00
1.50
2.00
2.00

2.50
8.00
11.00
1.50
0.80
2.00
7.00
4.70
3.00

(+)

371.00

10.00

Woody

Powdery/sweet

Tobacco/hay

Ebanol

Methyl lonone Gamma A
Sacrazole-018 1%

Sandalwood Oil New Caledonia LMR
Timbersilk™

Ethyl Vanillin

Vanillin

Coumarin

(-) (+)
23.00
8.00
25.00
IFF 1.50
IFF 70.00
270.00
155.00
8.00

1,000.00 1,000.00

iff

Blotter number (-): 01 | (+): 02"
TROPICALIA_Sales Deck_Mar2025.pdf,17,Confidential
TROPICALIA_Sales Deck_Mar2025.pdf,18,"FORMULA LAVANDOLIA

Citrus

Herbal

Green

Fruity

Aromatic

Balsamic

Musk

Amber

Linalyl Acetate

Clary Sage Oil French

Linalool

Hexenyl Butyrate, Cis-3 10%
Carrot Heart

Tropicalia™ 1%

Lavandin Absolute MD

Lavandin Grosso Oil

Lavender Oil Bulgaria CSM LMR

Amy] Salicylate

Benzoin Resinoid SIAM Blo 50%
TEC

Bellanone

Cashmeran® FF

Ciste Abs Sis F0785 1%
Operanide

IFF

IFF
IFF
IFF
IFF
IFF

IFF

IFF
IFF

IFF

ALCOHOL 10%

(-)
180.00
14.00
140.00
6.00
2.00
20.00
270.00
120.00
40.00

2.00

20.00
40.00
4.00
4.00

*formula continues over next column

(+)
170.00

10.00

Woody Veramoss
Mossy Iso Butyl Quinoline 10%
Powdery/sweet Vanillin

Tobacco/hay Coumarin

IFF
IFF

TOTAL:

6.00
2.00
80.00
50.00

(+)

1,000.00 1,000.00

iff

Blotter number (-): 05] (+): 06"
TROPICALIA_Sales Deck_Mar2025.pdf,19,Confidential
TROPICALIA_Sales Deck_Mar2025.pdf,20,"FORMULA SCARLETT

Green Hexenol, Cis-3

Damascenone

Floral
Methyl Dihydro Jasmonate
Davana Oil

Decalactone Gamma

Dimethyl Benzyl Carbinyl Butyrate

Dodecalactone, Gamma
Fruity

Ethyl Aceto Acetate

Hexenal,trans 2,

Tropicalia™ 10%

Veltol Plus
Spicy Safraleine 10%
Musk Ambrettolide
Cetalor

Ciste Abs Sis FO785

Amber

ALCOHOL 10%

(-) (+)

4.00

IFF 5.60

164.00

IFF 8.00

9.60

28.00

2.40

28.00

2.40

IFF - 2.00
28.00
24.00
IFF 48.00
IFF 40.00
12.00

162.00

*formula continues over next column

Woody

Tobacco/hay

Woody

Cedramber®
Ebanol

lonone Beta Extra
Patchouli Oil Light
Veramoss

Vetiver Concentrate MD FOR
LIFE LMR

Aubepine
Coumarin

Cedramber®

IFF
No
No
IFF
IFF

IFF

TOTAL:

120.00
60.00
180.00
20.00
4.00

12.00

20.00
180.00
120.00

1,000.00 1,000.00

iff

Blotter number (-): 03] (+): 04"
